Factor,Incl
eth_difficulty_pb,y
eth_n_fr_address_pb,y
eth_n_to_address_pb,y
eth_blocksize_pb,y
eth_n_tx_pb,y
eth_gaslimit_pb,y
eth_gasused_pb,y
btc_n_tx_pb,y
btc_miner_reward_pb,y
btc_n_fr_address_pb,y
btc_n_to_address_pb,y
btc_fee_unit_pb,y
btc_n_unique_inptput_address,n
eth_gasused_squared_pt,y
eth_gasprice_pt,y
eth_gasprice_squared_pt,y
eth_weighted_gasprice_sum,n
eth_weighted_gasprice_square_sum,n
btc_fee_unit_weighted_sum,n
eth_weighted_gasprice,y
eth_weighted_squared_gasprice,y
btc_fee_unit_weighted,y
eth_low,n
eth_high,n
eth_open,n
eth_close,y
eth_volume,y
eth_n_blocks,y
eth_difficulty_sum,n
eth_gaslimit_sum,n
eth_gasused_sum,n
eth_gasused_square_sum,n
eth_blocksize_sum,n
eth_ethersupply_sum,n
eth_n_transactions,n
eth_gasprice_sum,n
eth_gasprice_square_sum,n
eth_weighted_gasprice_sum,n
eth_weighted_gasprice_square_sum,n
eth_n_unique_from_address,n
eth_n_unique_to_address,n
eth_ethersupply_sum_old,n
btc_low,n
btc_high,n
btc_open,n
btc_close,y
btc_volume,y
btc_fee_sum,n
btc_fee_unit_sum,n
btc_fee_unit_square_sum,n
btc_fee_unit_weighted_sum,n
btc_fee_unit_square_weightd_sum,n
btc_miner_reward,n
btc_n_transactions,n
btc_n_unique_inptput_address,n
btc_n_unique_output_address,n
btc_block_size,y
btc_difficulty,y
btc_n_blocks,y
USDC_combinedBalanceInEth,tbc
USDC_combinedBalanceInUSD,tbc
USDC_ethBalance,tbc
USDC_ethLiquidity,tbc
USDC_price,tbc
USDC_tokenBalance,tbc
USDC_tokenLiquidity,tbc
USDC_tokenPriceUSD,tbc
USDC_feeInEth,tbc
USDC_tradeVolumeEth,tbc
USDC_tradeVolumeToken,tbc
USDC_tradeVolumeUSD,tbc
Dai_combinedBalanceInEth,tbc
Dai_combinedBalanceInUSD,tbc
Dai_ethBalance,tbc
Dai_ethLiquidity,tbc
Dai_price,tbc
Dai_tokenBalance,tbc
Dai_tokenLiquidity,tbc
Dai_tokenPriceUSD,tbc
Dai_feeInEth,tbc
Dai_tradeVolumeEth,tbc
Dai_tradeVolumeToken,tbc
Dai_tradeVolumeUSD,tbc
SAI_combinedBalanceInEth,tbc
SAI_combinedBalanceInUSD,tbc
SAI_ethBalance,tbc
SAI_ethLiquidity,tbc
SAI_price,tbc
SAI_tokenBalance,tbc
SAI_tokenLiquidity,tbc
SAI_tokenPriceUSD,tbc
SAI_feeInEth,tbc
SAI_tradeVolumeEth,tbc
SAI_tradeVolumeToken,tbc
SAI_tradeVolumeUSD,tbc
al_ethAmount,tbc
ep_ethAmount,tbc
rl_ethAmount,tbc
tp_ethAmount,tbc
dai_eth_burns_dai_amount,tbc
dai_eth_burns_eth_amount,tbc
dai_eth_burns_amountUSD,tbc
dai_eth_mints_dai_amount,tbc
dai_eth_mints_eth_amount,tbc
dai_eth_mints_amountUSD,tbc
dai_eth_swaps_dai_amount,tbc
dai_eth_swaps_eth_amount,tbc
dai_eth_swaps_amountUSD,tbc
eth_usdt_burns_eth_amount,tbc
eth_usdt_burns_usdt_amount,tbc
eth_usdt_burns_amountUSD,tbc
eth_usdt_mints_eth_amount,tbc
eth_usdt_mints_usdt_amount,tbc
eth_usdt_mints_amountUSD,tbc
eth_usdt_swaps_eth_amount,tbc
eth_usdt_swaps_usdt_amount,tbc
eth_usdt_swaps_amountUSD,tbc
usdc_eth_burns_usdc_amount,tbc
usdc_eth_burns_eth_amount,tbc
usdc_eth_burns_amountUSD,tbc
usdc_eth_mints_usdc_amount,tbc
usdc_eth_mints_eth_amount,tbc
usdc_eth_mints_amountUSD,tbc
usdc_eth_swaps_usdc_amount,tbc
usdc_eth_swaps_eth_amount,tbc
usdc_eth_swaps_amountUSD,tbc
eth_block_reward,y
eth_block_fees,y
eth_total_payoff,y
eth_block_rate,y
eth_mining_payoff_1,y
eth_mining_payoff_2,y
btc_total_payoff,y
btc_block_rate,y
btc_mining_payoff_1,y
btc_mining_payoff_2,y
eth_previous_mining_payoff_1,y
eth_previous_mining_payoff_2,y
btc_previous_mining_payoff_1,y
btc_previous_mining_payoff_2,y
eth_unique_addresses,n
eth_spreading,y
btc_unique_addresses,n
btc_spreading,y
eth_computational_burden,y
btc_computational_burden,y
eth_congestion_1,y
eth_congestion_2,y
eth_congestion_3,y
btc_block_limit,y
btc_congestion_1,y
btc_congestion_2,y
btc_congestion_3,y
eth_congestion_pricing_1,y
eth_congestion_pricing_2,y
eth_congestion_pricing_3,y
btc_weighted_average_tx_fee,y
btc_congestion_pricing_1,y
btc_congestion_pricing_2,y
btc_congestion_pricing_3,y
eth_hashrate,y
btc_blocks_found_last_24_hours,y
btc_daily_hashrate,y
eth_previous_hashrate,y
btc_previous_hashrate,y
eth_mu,y
btc_mu,y
eth_social_value,y
eth_social_cost,y
btc_social_value,y
btc_social_cost,y
